PPG,Type_1
0,0.338221
0,0.299117
0,0.264741
0,0.235918
0,0.213460
0,0.198142
0,0.190649
0,0.191517
0,0.201061
0,0.219309
0,0.245947
0,0.280293
0,0.321303
0,0.367610
0,0.417596
0,0.469482
0,0.521445
0,0.571725
0,0.618729
0,0.661117
0,0.697875
0,0.728344
0,0.752242
0,0.769641
0,0.780932
0,0.786759
0,0.787944
0,0.785405
0,0.780065
0,0.772781
0,0.764268
0,0.755060
0,0.745470
0,0.735587
0,0.725281
0,0.714234
0,0.701984
0,0.687976
0,0.671631
0,0.652410
0,0.629883
0,0.603788
0,0.574082
0,0.540975
0,0.504947
0,0.466744
0,0.427355
0,0.387973
0,0.349935
0,0.314655
0,0.283548
0,0.257947
0,0.239028
0,0.227729
0,0.224690
0,0.230201
0,0.244174
0,0.266133
0,0.295235
0,0.330318
0,0.369972
0,0.412632
0,0.456679
0,0.500545
0,0.542811
0,0.582284
0,0.618053
0,0.649518
0,0.676391
0,0.698672
0,0.716608
0,0.730637
0,0.741317
0,0.749267
0,0.755095
0,0.759342
0,0.762440
0,0.764667
0,0.766133
0,0.766762
0,0.766300
0,0.764322
0,0.760264
0,0.753459
0,0.743187
0,0.728733
0,0.709455
0,0.684856
0,0.654651
0,0.618827
0,0.577689
0,0.531887
0,0.482409
0,0.430556
0,0.377889
0,0.326155
0,0.277198
0,0.232866
0,0.194914
0,0.164908
0,0.144143
0,0.133563
0,0.133708
0,0.144666
0,0.166059
0,0.197046
0,0.236359
0,0.282368
0,0.333177
0,0.386727
0,0.440923
0,0.493756
0,0.543404
0,0.588326
0,0.627316
0,0.659535
0,0.684512
0,0.702129
0,0.712580
0,0.716331
0,0.714060
0,0.706611
0,0.694936
0,0.680049
0,0.662981
0,0.644738
0,0.626271
0,0.608447
0,0.592033
0,0.577682
0,0.565927
0,0.557177
0,0.551719
0,0.549716
0,0.551205
0,0.556101
0,0.564188
0,0.575124
0,0.588438
0,0.603537
0,0.619713
0,0.636157
0,0.651982
0,0.666247
0,0.677989
0,0.686258
0,0.690159
0,0.688894
0,0.681804
0,0.668413
0,0.648468
0,0.621968
0,0.589190
0,0.550696
0,0.507331
0,0.460196
0,0.410606
0,0.360036
0,0.310052
0,0.262238
0,0.218119
0,0.179099
0,0.146397
0,0.121001
0,0.103633
0,0.094721
0,0.094389
0,0.102458
0,0.118453
0,0.141627
0,0.171003
0,0.205421
0,0.243603
0,0.284225
0,0.325992
0,0.367704
0,0.408318
0,0.446987
0,0.483083
0,0.516199
0,0.546135
0,0.572870
0,0.596522
0,0.617309
0,0.635510
0,0.651427
0,0.665355
0,0.677563
0,0.688275
0,0.697668
0,0.705872
0,0.712971
0,0.719018
0,0.724042
0,0.728057
0,0.731078
0,0.733124
0,0.734226
0,0.734425
0,0.733777
0,0.732344
0,0.730189
0,0.727373
0,0.723943
0,0.719932
0,0.715355
0,0.710208
0,0.704473
0,0.698122
0,0.691126
0,0.683465
0,0.675133
0,0.666151
0,0.656569
0,0.646472
0,0.635971
0,0.625202
0,0.614310
0,0.603434
0,0.592690
0,0.582151
0,0.571836
0,0.561695
0,0.551602
0,0.541361
0,0.530707
0,0.519322
0,0.506855
0,0.492943
0,0.477248
0,0.459479
0,0.439426
0,0.416990
0,0.392205
0,0.365255
0,0.336489
0,0.306419
0,0.275718
0,0.245199
0,0.215797
0,0.188528
0,0.164449
0,0.144605
0,0.129970
0,0.121392
0,0.119534
0,0.124825
0,0.137423
0,0.157195
0,0.183716
0,0.216285
0,0.253970
